,Timestamp,Site ID,Date and Time,Flow Condition,NOTES,Site Photo or Video?,Height above (+) or below (-) v-notch in cm,"Flow Measurement, Time in Seconds ","Flow Measurement, Volume in mL"
0,2020-05-11 17:24:09,SLR-045,2020-05-01 11:00:00,Ponded,Installed camera,https://drive.google.com/open?id=1bF8R9Wjr51yYC0wnVWiKfJdmFHRg_gTV,0.0,60.0,0
1,2020-05-11 17:26:22,SLR-045A,2020-05-01 11:15:00,Flowing,Flowing upstream but not downstream. Must be a sag or leak or something?,,0.8,60.0,380
2,2020-05-11 17:27:17,SLR-045A,2020-05-01 11:30:00,Flowing,post cleaning,,1.0,60.0,330
3,2020-05-11 17:28:21,SLR-045B,2020-05-01 11:30:00,Ponded,not enough flow to measure. basically ponded,,0.3,60.0,0
4,2020-05-11 17:29:39,SLR-095,2020-05-01 12:25:00,Flowing,Installed camera,,4.25,4.5,2450
5,2020-05-11 17:29:39,SLR-095,2020-05-01 12:25:00,Flowing,,,4.25,7.0,"3,630"
6,2020-05-11 17:29:39,SLR-095,2020-05-01 12:25:00,Flowing,,,4.25,6.0,"3,260"
7,2020-05-11 17:32:08,CAR-070,2020-05-01 14:10:00,Flowing,Installed camera,https://drive.google.com/open?id=1plsbcF3XidBs1a7yfWNytK7j6rbY_Lup,2.9,13.0,2630
8,2020-05-11 17:32:08,CAR-070,2020-05-01 14:10:00,Flowing,,,2.9,11.0,"2,370"
9,2020-05-11 17:32:08,CAR-070,2020-05-01 14:10:00,Flowing,,,2.9,14.5,"2,980"
10,2020-05-11 17:34:33,CAR-070E,2020-05-01 14:35:00,Flowing,none,,2.5,7.0,850
11,2020-05-11 17:34:33,CAR-070E,2020-05-01 14:35:00,Flowing,,,2.5,8.0,860
12,2020-05-11 17:34:33,CAR-070E,2020-05-01 14:35:00,Flowing,,,2.5,9.5,"1,030"
13,2020-05-11 17:37:11,CAR-072,2020-05-01 15:00:00,Flowing,cleared away leaf obstruction before measurement. Installed camera,https://drive.google.com/open?id=15Wm4UZKRE0aatHet_2k64_tHLvoaA_TH,2.5,16.0,2270
14,2020-05-11 17:37:11,CAR-072,2020-05-01 15:00:00,Flowing,,,2.5,26.5,"3,550"
15,2020-05-11 17:37:11,CAR-072,2020-05-01 15:00:00,Flowing,,,2.5,29.0,"3,800"
16,2020-05-11 17:40:06,SDG-072,2020-05-05 11:00:00,Flowing,Installed camera?,,2.0,24.0,1950
17,2020-05-11 17:40:06,SDG-072,2020-05-05 11:00:00,Flowing,,,2.0,34.0,"2,650"
18,2020-05-11 17:40:06,SDG-072,2020-05-05 11:00:00,Flowing,,,2.0,35.0,"2,660"
19,2020-05-11 17:41:32,SDG-084,2020-05-05 11:50:00,Flowing,installed camera,,5.0,4.5,3640
20,2020-05-11 17:41:32,SDG-084,2020-05-05 11:50:00,Flowing,,,5.0,4.4,"3,550"
21,2020-05-11 17:41:32,SDG-084,2020-05-05 11:50:00,Flowing,,,5.0,4.6,"3,780"
22,2020-05-11 17:42:42,SDG-085,2020-05-05 12:20:00,Flowing,Installed camera,,5.5,3.6,4075
23,2020-05-11 17:42:42,SDG-085,2020-05-05 12:20:00,Flowing,,,5.5,3.1,"3,530"
24,2020-05-11 17:42:42,SDG-085,2020-05-05 12:20:00,Flowing,,,5.5,3.3,"3,790"
25,2020-05-11 17:48:05,CAR-059G,2020-05-05 13:05:00,Flowing,looks good!,,2.3,16.5,2250
26,2020-05-11 17:48:05,CAR-059G,2020-05-05 13:05:00,Flowing,,,2.3,28.6,"3,800"
27,2020-05-11 17:48:05,CAR-059G,2020-05-05 13:05:00,Flowing,,,2.3,28.0,"3,750"
28,2020-05-11 20:02:31,CAR-059,2020-05-05 13:50:00,Flowing,"this is the depth in the flume. flow ""measurement"" is from openchannelflow.com table = 1.975 L/s at 2.04 in.",,5.04,1.0,1975
29,2020-05-11 20:04:48,CAR-007,2020-05-05 14:00:00,Ponded,water level still below vee,,-3.175,60.0,0
30,2020-05-11 20:05:49,SWT-019,2020-05-07 12:35:00,Flowing,moved camera,,0.8,60.0,420
31,2020-05-11 20:05:49,SWT-019,2020-05-07 12:35:00,Flowing,,,0.8,60.0,415
32,2020-05-11 20:05:49,SWT-019,2020-05-07 12:35:00,Flowing,,,0.8,60.0,420
33,2020-05-11 20:07:36,SWT-233,2020-05-07 13:30:00,Ponded,probe was on wrong side of weir. reinstalled,,-6.35,60.0,0
34,2020-05-11 20:08:42,SWT-030I,2020-05-07 14:10:00,Flowing,removed debris and then later started flowing,,1.6,60.0,2120
35,2020-05-11 20:09:54,SWT-030I,2020-05-07 14:15:00,Flowing,flow is decreasing,,1.3,60.0,880
36,2020-05-11 20:10:31,SWT-030I,2020-05-07 14:20:00,Flowing,flow decreasing,,1.0,60.0,300
37,2020-05-11 20:11:55,SWT-030,2020-05-07 14:30:00,Flowing,none?,,4.0,4.1,2170
38,2020-05-11 20:11:55,SWT-030,2020-05-07 14:30:00,Flowing,,,4.0,6.6,"3,340"
39,2020-05-11 20:11:55,SWT-030,2020-05-07 14:30:00,Flowing,,,4.0,6.5,"3,500"
40,2020-05-11 20:13:52,SWT-068,2020-05-07 15:05:00,Flowing,Lots of debris removed,,8.4,3.51,9220
41,2020-05-11 20:13:52,SWT-068,2020-05-07 15:05:00,Flowing,,,8.4,3.2,"8,340"
42,2020-05-11 20:13:52,SWT-068,2020-05-07 15:05:00,Flowing,,,8.4,3.6,"8,980"
43,2020-05-11 20:15:30,SWT-162,2020-05-07 15:55:00,Ponded,none? too low to measure,,0.3,60.0,0
44,2020-05-11 20:17:30,SWT-235,2020-05-08 09:25:00,Flowing,weir was almost submerged downstream. busted out some concrete to lower downstream water level,,3.5,5.1,1950
45,2020-05-11 20:17:30,SWT-235,2020-05-08 09:25:00,Flowing,,,3.5,4.8,"1,950"
46,2020-05-11 20:17:30,SWT-235,2020-05-08 09:25:00,Flowing,,,3.5,6.5,"2,450"
47,2020-05-11 20:20:23,SDR-204A,2020-05-08 10:30:00,Flowing,The probes were mixed up. SDR-203A and 204A were misnamed and probes were misnamed. we corrected them at 10:30am,,2.5,26.4,3650
48,2020-05-11 20:21:26,SDR-204A,2020-05-08 10:45:00,Flowing,now correctly SDR-204A,,2.5,20.0,2700
49,2020-05-11 20:21:26,SDR-204A,2020-05-08 10:45:00,Flowing,,,2.5,22.7,"3,190"
50,2020-05-11 20:23:02,SDR-203A,2020-05-08 10:55:00,Flowing,SDR-203A and 204A were mixed up. switched them back to the right way at 10:30,,1.5,60.0,2300
51,2020-05-11 20:23:02,SDR-203A,2020-05-08 10:55:00,Flowing,,,1.5,60.0,"2,220"
52,2020-05-11 20:23:02,SDR-203A,2020-05-08 10:55:00,Flowing,,,1.5,60.0,"2,150"
53,2020-05-11 20:24:21,SDR-036,2020-05-08 12:30:00,Flowing,moved camera,,2.75,10.0,2100
54,2020-05-11 20:24:21,SDR-036,2020-05-08 12:30:00,Flowing,,,2.75,10.4,"2,120"
55,2020-05-11 20:24:21,SDR-036,2020-05-08 12:30:00,Flowing,,,2.75,10.8,"2,220"
56,2020-05-11 20:25:44,SDR-127B,2020-05-08 12:55:00,Flowing,none?,,1.75,60.0,1980
57,2020-05-11 20:26:20,SDR-127B,2020-05-08 13:00:00,Flowing,none?,,1.25,60.0,1150
