Site,CalculatedOffset_in,GlobalOffset_in,FinalOffset_in
CAR-007,-6.68,0.0,-6.68
CAR-059,-0.26,0.0,-0.26
CAR-059G,-5.25,0.0,-5.25
CAR-070,-5.75,0.05,-5.7
CAR-070E,-0.96,0.0,-0.96
CAR-072,-4.57,0.0,-4.57
CAR-072C,-3.25,0.0,-3.25
CAR-072R,-3.74,-0.08,-3.82
CAR-072O,-2.45,0.0,-2.45
CAR-072Q,-3.42,0.0,-3.42
SDG-072,-7.08,0.0,-7.08
SDG-072A,-2.46,-0.1,-2.56
SDG-084,-4.8,0.13,-4.67
SDG-084J,-1.59,0.0,-1.59
SDG-085,-3.14,0.0,-3.14
SDG-085G,-2.74,0.0,-2.74
SDG-085M,-5.79,0.0,-5.79
SDG-287,-2.49,0.0,-2.49
SDR-036,-3.01,0.0,-3.01
SDR-041,-4.02,0.18,-3.84
SDR-064,-1.6,0.0,-1.6
SDR-064A,-4.7,-0.01,-4.71
SDR-064B,-4.09,0.02,-4.07
SDR-064C,-2.69,0.4,-2.29
SDR-064D,-3.33,-1.5,-4.83
SDR-098,-2.29,0.0,-2.29
SDR-127,-4.23,0.0,-4.23
SDR-127B,-5.42,0.0,-5.42
SDR-130,-16.33,0.0,-16.33
SDR-203A,-3.93,-0.02,-3.94
SDR-204A,-1.32,0.0,-1.32
SLR-095,-2.25,0.0,-2.25
SLR-045,-3.9,0.0,-3.9
SLR-045A,-5.51,0.0,-5.51
SLR-045B,-2.02,0.0,-2.02
SWT-019,-3.86,0.0,-3.86
SWT-030,-4.36,0.1,-4.26
SWT-030I,-1.76,-0.2,-1.96
SWT-068,-2.11,0.1,-2.01
SWT-162,-3.83,0.0,-3.83
SWT-233,-3.05,0.0,-3.05
SWT-235,-3.54,0.1,-3.44
