Level (in),Level (cm),Level (mm),Q (GPM),Q (LPM),Q (mL/min),Q calc LPM
nan,,nan,nan,,,
0,0.00,0.0,0,0.000,0,0.000
0.01,0.03,0.3,0,0.000,0,0.000
0.02,0.05,0.5,0,0.000,0,0.000
0.03,0.08,0.8,0,0.000,0,0.001
0.04,0.10,1.0,0.001,0.004,4,0.003
0.05,0.13,1.3,0.001,0.004,4,0.005
0.06,0.15,1.5,0.002,0.008,8,0.008
0.07,0.18,1.8,0.003,0.011,11,0.011
0.08,0.20,2.0,0.004,0.015,15,0.015
0.09,0.23,2.3,0.005,0.019,19,0.021
0.1,0.25,2.5,0.007,0.026,26,0.027
0.11,0.28,2.8,0.009,0.034,34,0.034
0.12,0.30,3.0,0.011,0.042,42,0.042
0.13,0.33,3.3,0.014,0.053,53,0.052
0.14,0.36,3.6,0.016,0.061,61,0.062
0.15,0.38,3.8,0.02,0.076,76,0.074
0.16,0.41,4.1,0.023,0.087,87,0.087
0.17,0.43,4.3,0.027,0.102,102,0.101
0.18,0.46,4.6,0.031,0.117,117,0.117
0.19,0.48,4.8,0.035,0.132,132,0.134
0.2,0.51,5.1,0.04,0.151,151,0.152
0.21,0.53,5.3,0.045,0.170,170,0.172
0.22,0.56,5.6,0.051,0.193,193,0.193
0.23,0.58,5.8,0.057,0.216,216,0.216
0.24,0.61,6.1,0.063,0.238,238,0.240
0.25,0.64,6.4,0.07,0.265,265,0.266
0.26,0.66,6.6,0.078,0.295,295,0.293
0.27,0.69,6.9,0.085,0.322,322,0.322
0.28,0.71,7.1,0.093,0.352,352,0.353
0.29,0.74,7.4,0.102,0.386,386,0.386
0.3,0.76,7.6,0.111,0.420,420,0.420
0.31,0.79,7.9,0.12,0.454,454,0.456
0.32,0.81,8.1,0.13,0.492,492,0.493
0.33,0.84,8.4,0.141,0.534,534,0.533
0.34,0.86,8.6,0.152,0.575,575,0.574
0.35,0.89,8.9,0.163,0.617,617,0.617
0.36,0.91,9.1,0.175,0.662,662,0.662
0.37,0.94,9.4,0.187,0.708,708,0.709
0.38,0.97,9.7,0.2,0.757,757,0.758
0.39,0.99,9.9,0.214,0.810,810,0.809
0.4,1.02,10.2,0.228,0.863,863,0.862
0.41,1.04,10.4,0.242,0.916,916,0.916
0.42,1.07,10.7,0.257,0.973,973,0.973
0.43,1.09,10.9,0.273,1.033,1033,1.032
0.44,1.12,11.2,0.289,1.094,1094,1.093
0.45,1.14,11.4,0.306,1.158,1158,1.157
0.46,1.17,11.7,0.323,1.223,1223,1.222
0.47,1.19,11.9,0.341,1.291,1291,1.289
0.48,1.22,12.2,0.359,1.359,1359,1.359
0.49,1.24,12.4,0.378,1.431,1431,1.431
0.5,1.27,12.7,0.398,1.507,1507,1.505
0.51,1.30,13.0,0.418,1.582,1582,1.581
0.52,1.32,13.2,0.439,1.662,1662,1.660
0.53,1.35,13.5,0.46,1.741,1741,1.741
0.54,1.37,13.7,0.482,1.825,1825,1.824
0.55,1.40,14.0,0.505,1.912,1912,1.910
0.56,1.42,14.2,0.528,1.999,1999,1.998
0.57,1.45,14.5,0.552,2.090,2090,2.088
0.58,1.47,14.7,0.576,2.180,2180,2.181
0.59,1.50,15.0,0.601,2.275,2275,2.276
0.6,1.52,15.2,0.627,2.373,2373,2.374
0.61,1.55,15.5,0.654,2.476,2476,2.474
0.62,1.57,15.7,0.681,2.578,2578,2.577
0.63,1.60,16.0,0.709,2.684,2684,2.682
0.64,1.63,16.3,0.737,2.790,2790,2.790
0.65,1.65,16.5,0.766,2.900,2900,2.900
0.66,1.68,16.8,0.796,3.013,3013,3.013
0.67,1.70,17.0,0.827,3.131,3131,3.128
0.68,1.73,17.3,0.858,3.248,3248,3.246
0.69,1.75,17.5,0.89,3.369,3369,3.367
0.7,1.78,17.8,0.922,3.490,3490,3.490
0.71,1.80,18.0,0.955,3.615,3615,3.616
0.72,1.83,18.3,0.989,3.744,3744,3.745
0.73,1.85,18.5,1.024,3.876,3876,3.876
0.74,1.88,18.8,1.06,4.013,4013,4.010
0.75,1.91,19.1,1.096,4.149,4149,4.147
0.76,1.93,19.3,1.133,4.289,4289,4.287
0.77,1.96,19.6,1.17,4.429,4429,4.429
0.78,1.98,19.8,1.209,4.577,4577,4.575
0.79,2.01,20.1,1.248,4.724,4724,4.723
0.8,2.03,20.3,1.288,4.876,4876,4.873
0.81,2.06,20.6,1.328,5.027,5027,5.027
0.82,2.08,20.8,1.37,5.186,5186,5.184
0.83,2.11,21.1,1.412,5.345,5345,5.343
0.84,2.13,21.3,1.455,5.508,5508,5.506
0.85,2.16,21.6,1.498,5.671,5671,5.671
0.86,2.18,21.8,1.543,5.841,5841,5.839
0.87,2.21,22.1,1.588,6.011,6011,6.011
0.88,2.24,22.4,1.634,6.185,6185,6.185
0.89,2.26,22.6,1.681,6.363,6363,6.362
0.9,2.29,22.9,1.729,6.545,6545,6.542
0.91,2.31,23.1,1.777,6.727,6727,6.725
0.92,2.34,23.4,1.826,6.912,6912,6.912
0.93,2.36,23.6,1.876,7.101,7101,7.101
0.94,2.39,23.9,1.927,7.294,7294,7.293
0.95,2.41,24.1,1.979,7.491,7491,7.489
0.96,2.44,24.4,2.031,7.688,7688,7.688
0.97,2.46,24.6,2.084,7.889,7889,7.889
0.98,2.49,24.9,2.139,8.097,8097,8.094
0.99,2.51,25.1,2.194,8.305,8305,8.302
1,2.54,25.4,2.306,8.729,8729,8.514
1.01,2.57,25.7,2.364,8.949,8949,8.728
1.02,2.59,25.9,2.422,9.168,9168,8.946
1.03,2.62,26.2,2.481,9.392,9392,9.167
1.04,2.64,26.4,2.541,9.619,9619,9.391
1.05,2.67,26.7,2.602,9.850,9850,9.618
1.06,2.69,26.9,2.664,10.084,10084,9.849
1.07,2.72,27.2,2.727,10.323,10323,10.083
1.08,2.74,27.4,2.79,10.561,10561,10.320
1.09,2.77,27.7,2.855,10.807,10807,10.560
1.1,2.79,27.9,2.92,11.053,11053,10.804
1.11,2.82,28.2,2.986,11.303,11303,11.052
1.12,2.84,28.4,3.053,11.557,11557,11.302
1.13,2.87,28.7,3.121,11.814,11814,11.556
1.14,2.90,29.0,3.19,12.075,12075,11.813
1.15,2.92,29.2,3.26,12.340,12340,12.074
1.16,2.95,29.5,3.331,12.609,12609,12.338
1.17,2.97,29.7,3.402,12.878,12878,12.606
1.18,3.00,30.0,3.475,13.154,13154,12.877
1.19,3.02,30.2,3.548,13.431,13431,13.152
1.2,3.05,30.5,3.623,13.715,13715,13.430
1.21,3.07,30.7,3.698,13.998,13998,13.711
1.22,3.10,31.0,3.774,14.286,14286,13.996
1.23,3.12,31.2,3.851,14.578,14578,14.285
1.24,3.15,31.5,3.93,14.877,14877,14.577
1.25,3.18,31.8,4.009,15.176,15176,14.873
1.26,3.20,32.0,4.089,15.479,15479,15.172
1.27,3.23,32.3,4.17,15.785,15785,15.475
1.28,3.25,32.5,4.252,16.096,16096,15.781
1.29,3.28,32.8,4.334,16.406,16406,16.091
1.3,3.30,33.0,4.418,16.724,16724,16.405
1.31,3.33,33.3,4.503,17.046,17046,16.722
1.32,3.35,33.5,4.589,17.371,17371,17.043
1.33,3.38,33.8,4.676,17.701,17701,17.368
