,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,°F Logger Temperature
2020-05-01 00:00:00,6.57479,64.76,4.17830366647,0.0,100,7545,100.18,64.454
2020-05-01 00:05:00,6.41731,64.76,4.11149721105,0.0,100,7523,100.18,64.796
2020-05-01 00:10:00,6.33857,64.94,4.06443329165,0.0,100,7530,100.18,64.76
2020-05-01 00:15:00,6.25983,64.94,4.05508535448,0.0,100,7533,100.18,64.652
2020-05-01 00:20:00,6.25983,64.94,4.02717034325,0.0,100,7536,100.18,64.616
2020-05-01 00:25:00,6.22046,64.94,3.99024902362,0.0,100,7533,100.18,64.598
2020-05-01 00:30:00,6.18109,64.94,3.94457302075,0.0,100,7532,100.18,64.58
2020-05-01 00:35:00,6.22046,64.94,3.926449354,0.0,100,7533,100.19,64.562
2020-05-01 00:40:00,6.22046,64.94,3.91741877108,0.0,100,7538,100.19,64.544
2020-05-01 00:45:00,6.22046,64.94,3.89941986677,0.0,100,7534,100.21,64.508
2020-05-01 00:50:00,6.18109,64.904,3.83707245492,0.0,100,7537,100.2,64.49
2020-05-01 00:55:00,6.22046,64.76,3.89045144994,0.0,100,7534,100.2,64.472
2020-05-01 01:00:00,6.22046,64.76,3.86366977054,0.0,100,7533,100.19,64.436
2020-05-01 01:05:00,6.18109,64.76,3.93550075456,0.0,100,7534,100.19,64.418
2020-05-01 01:10:00,6.18109,64.76,3.97191549469,0.0,100,7534,100.18,64.382
2020-05-01 01:15:00,6.22046,64.76,3.95366620068,0.0,100,7534,100.17,64.364
2020-05-01 01:20:00,6.18109,64.76,3.97191549469,0.0,100,7536,100.17,64.346
2020-05-01 01:25:00,6.18109,64.76,3.98107170553,0.0,100,7536,100.16,64.328
2020-05-01 01:30:00,6.18109,64.76,4.00866717627,0.0,100,7533,100.17,64.31
2020-05-01 01:35:00,6.18109,64.76,4.04575891697,0.0,100,7536,100.17,64.31
2020-05-01 01:40:00,6.14172,64.76,4.08319386333,0.0,100,7532,100.17,64.292
2020-05-01 01:45:00,6.14172,64.58,4.11149721105,0.0,100,7535,100.17,64.274
2020-05-01 01:50:00,6.14172,64.58,4.1399967482,0.0,100,7536,100.17,64.256
2020-05-01 01:55:00,6.14172,64.58,4.1686938347,0.0,100,7536,100.17,64.238
2020-05-01 02:00:00,6.18109,64.58,4.19758983991,0.0,100,7535,100.17,64.22
2020-05-01 02:05:00,6.18109,64.58,4.21696503429,0.0,100,7537,100.16,64.202
2020-05-01 02:10:00,6.18109,64.58,4.2364296605,0.0,100,7534,100.16,64.202
2020-05-01 02:15:00,6.18109,64.58,4.25598413134,0.0,100,7537,100.16,64.184
2020-05-01 02:20:00,6.18109,64.58,4.29536426765,0.0,100,7534,100.16,64.166
2020-05-01 02:25:00,6.18109,64.58,4.31519076828,0.0,100,7536,100.15,64.148
2020-05-01 02:30:00,6.22046,64.58,4.33510878388,0.0,100,7536,100.16,64.148
2020-05-01 02:35:00,6.22046,64.58,4.34510224172,0.0,100,7536,100.16,64.13
2020-05-01 02:40:00,6.18109,64.58,4.35511873686,0.0,100,7536,100.16,64.13
2020-05-01 02:45:00,6.18109,64.58,4.38530697775,0.0,100,7536,100.16,64.112
2020-05-01 02:50:00,6.22046,64.58,4.40554863507,0.0,100,7535,100.16,64.076
2020-05-01 02:55:00,6.22046,64.58,4.41570447353,0.0,100,7537,100.16,64.058
2020-05-01 03:00:00,6.22046,64.58,4.43608643931,0.0,100,7536,100.16,64.022
2020-05-01 03:05:00,6.18109,64.58,4.45656248398,0.0,100,7533,100.15,64.004
2020-05-01 03:10:00,6.18109,64.58,4.45656248398,0.0,100,7536,100.15,63.986
