,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,°F Logger Temperature
5/1/2020 0:00,,,,,100,7563,99.17,65.786
5/1/2020 0:05,,,,,98,7463,99.17,66.182
5/1/2020 0:10,,,,,98,7451,99.16,66.632
5/1/2020 0:15,,,,,97,7437,99.17,66.938
5/1/2020 0:20,,,,,100,7515,99.17,66.794
5/1/2020 0:25,,,,,100,7524,99.17,66.542
5/1/2020 0:30,,,,,100,7526,99.18,66.434
5/1/2020 0:35,,,,,100,7529,99.18,66.362
5/1/2020 0:40,,,,,100,7528,99.19,66.326
5/1/2020 0:45,,,,,100,7532,99.19,66.29
5/1/2020 0:50,,,,,100,7531,99.19,66.254
5/1/2020 0:55,,,,,100,7533,99.18,66.218
5/1/2020 1:00,,,,,100,7533,99.18,66.2
5/1/2020 1:05,,,,,100,7531,99.17,66.182
5/1/2020 1:10,,,,,100,7534,99.17,66.164
5/1/2020 1:15,,,,,100,7533,99.16,66.128
5/1/2020 1:20,,,,,100,7535,99.16,66.11
5/1/2020 1:25,,,,,100,7533,99.17,66.092
5/1/2020 1:30,,,,,100,7535,99.17,66.074
5/1/2020 1:35,,,,,100,7533,99.16,66.056
5/1/2020 1:40,,,,,100,7535,99.16,66.038
5/1/2020 1:45,,,,,100,7537,99.16,66.02
5/1/2020 1:50,,,,,100,7534,99.16,66.002
5/1/2020 1:55,,,,,100,7537,99.16,65.984
5/1/2020 2:00,,,,,100,7537,99.15,65.984
5/1/2020 2:05,,,,,100,7533,99.15,65.966
5/1/2020 2:10,,,,,100,7536,99.15,65.948
5/1/2020 2:15,,,,,100,7537,99.15,65.93
5/1/2020 2:20,,,,,100,7536,99.15,65.894
5/1/2020 2:25,,,,,100,7536,99.15,65.876
5/1/2020 2:30,,,,,100,7534,99.16,65.876
5/1/2020 2:35,,,,,100,7538,99.15,65.858
5/1/2020 2:40,,,,,100,7535,99.15,65.84
5/1/2020 2:45,,,,,100,7534,99.15,65.84
5/1/2020 2:50,,,,,100,7536,99.15,65.804
5/1/2020 2:55,,,,,100,7536,99.15,65.768
5/1/2020 3:00,,,,,100,7536,99.14,65.714
5/1/2020 3:05,,,,,100,7539,99.14,65.642
5/1/2020 3:10,,,,,100,7536,99.14,65.57
5/1/2020 3:15,,,,,100,7539,99.13,65.516
