,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,°F Logger Temperature
5/1/2020 0:00,4.17322,68.9,1.238796587,0,97,7449,100,62.204
5/1/2020 0:05,4.17322,68.9,1.238796587,0,94,7364,99.99,62.294
5/1/2020 0:10,4.17322,68.72,1.235947433,0,93,7340,99.99,62.474
5/1/2020 0:15,4.17322,68.72,1.238796587,0,93,7326,99.99,62.51
5/1/2020 0:20,4.17322,68.72,1.238796587,0,97,7438,99.99,62.114
5/1/2020 0:25,4.17322,68.54,1.238796587,0,97,7447,99.99,61.61
5/1/2020 0:30,4.13385,68.54,1.230268771,0,97,7448,99.99,61.25
5/1/2020 0:35,4.13385,68.432,1.230268771,0,97,7448,99.99,60.944
5/1/2020 0:40,4.13385,68.36,1.227439231,0,98,7451,99.99,60.674
5/1/2020 0:45,4.09448,68.324,1.218989599,0,98,7451,99.99,60.44
5/1/2020 0:50,4.09448,68.18,1.22179966,0,98,7450,99.99,60.206
5/1/2020 0:55,4.09448,68.18,1.21338885,0,98,7452,99.99,59.972
5/1/2020 1:00,4.05511,68.036,1.199499303,0,98,7452,100,59.756
5/1/2020 1:05,4.3307,68,1.185768748,0,98,7453,100,59.558
5/1/2020 1:10,4.80314,67.82,1.188502227,0,98,7450,100,59.36
5/1/2020 1:15,4.80314,67.82,1.20503594,0,98,7451,100,59.162
5/1/2020 1:20,4.7244,67.676,1.256029964,0,97,7449,100,58.982
5/1/2020 1:25,4.64566,67.532,1.261827535,0,98,7451,100,58.802
5/1/2020 1:30,4.60629,67.388,1.235947433,0,98,7450,100,58.622
5/1/2020 1:35,4.52755,67.28,1.174897555,0,97,7448,100,58.478
5/1/2020 1:40,4.48818,67.172,1.137627286,0,97,7449,100,58.352
5/1/2020 1:45,4.44881,66.992,1.129795915,0,98,7451,100,58.298
5/1/2020 1:50,4.44881,66.992,1.137627286,0,98,7450,100,58.316
5/1/2020 1:55,4.40944,67.1,1.137627286,0,97,7449,99.99,58.442
5/1/2020 2:00,4.37007,67.136,1.137627286,0,97,7447,99.99,58.604
5/1/2020 2:05,4.37007,67.1,1.132400363,0,97,7448,99.98,58.838
5/1/2020 2:10,4.3307,66.92,1.127197456,0,97,7446,99.99,59.072
5/1/2020 2:15,4.29133,66.92,1.124604974,0,97,7447,99.98,59.306
5/1/2020 2:20,4.3307,66.92,1.119437883,0,97,7446,99.97,59.558
5/1/2020 2:25,4.3307,66.92,1.114294534,0,97,7448,99.97,59.81
5/1/2020 2:30,4.29133,66.92,1.111731727,0,97,7447,99.96,60.062
5/1/2020 2:35,4.29133,66.92,1.114294534,0,97,7443,99.96,60.314
5/1/2020 2:40,4.29133,66.92,1.109174815,0,97,7444,99.96,60.53
5/1/2020 2:45,4.25196,66.92,1.109174815,0,97,7442,99.96,60.746
5/1/2020 2:50,4.25196,66.776,1.111731727,0,97,7443,99.96,60.944
5/1/2020 2:55,4.21259,66.74,1.116863248,0,97,7442,99.96,61.142
5/1/2020 3:00,4.21259,66.74,1.119437883,0,97,7443,99.96,61.322
5/1/2020 3:05,4.25196,66.74,1.124604974,0,97,7441,99.97,61.484
5/1/2020 3:10,4.21259,66.74,1.129795915,0,97,7441,99.97,61.646
