,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,°F Logger Temperature
5/1/2020 0:00,2.40157,66.92,1.41579378,0,97,7429,98.76,66.002
5/1/2020 0:05,2.40157,66.92,1.399587323,0,92,7319,98.76,66.254
5/1/2020 0:10,2.40157,66.92,1.41579378,0,96,7401,98.76,66.56
5/1/2020 0:15,2.40157,66.92,1.419057522,0,96,7421,98.76,66.344
5/1/2020 0:20,2.40157,66.92,1.419057522,0,96,7424,98.75,66.056
5/1/2020 0:25,2.44094,66.92,1.41579378,0,97,7425,98.75,65.858
5/1/2020 0:30,2.44094,66.92,1.41579378,0,97,7428,98.75,65.714
5/1/2020 0:35,2.48031,66.92,1.432187899,0,97,7428,98.75,65.57
5/1/2020 0:40,2.44094,66.92,1.406047524,0,97,7425,98.75,65.444
5/1/2020 0:45,2.40157,66.92,1.396368361,0,96,7424,98.75,65.318
5/1/2020 0:50,2.40157,66.92,1.402813705,0,97,7428,98.75,65.192
5/1/2020 0:55,2.40157,66.92,1.409288798,0,97,7429,98.75,65.084
5/1/2020 1:00,2.40157,66.92,1.409288798,0,97,7430,98.75,64.976
5/1/2020 1:05,2.40157,66.848,1.412537545,0,97,7427,98.76,64.868
5/1/2020 1:10,2.44094,66.74,1.41579378,0,97,7427,98.76,64.778
5/1/2020 1:15,2.40157,66.74,1.419057522,0,96,7424,98.76,64.688
5/1/2020 1:20,2.40157,66.74,1.419057522,0,97,7428,98.76,64.616
5/1/2020 1:25,2.40157,66.74,1.41579378,0,97,7429,98.76,64.544
5/1/2020 1:30,2.44094,66.74,1.422328787,0,97,7428,98.76,64.472
5/1/2020 1:35,2.44094,66.74,1.425607594,0,97,7429,98.76,64.436
5/1/2020 1:40,2.44094,66.848,1.406047524,0,97,7427,98.76,64.4
5/1/2020 1:45,2.44094,66.74,1.406047524,0,97,7425,98.76,64.382
5/1/2020 1:50,2.44094,66.74,1.409288798,0,97,7426,98.76,64.382
5/1/2020 1:55,2.40157,66.74,1.412537545,0,97,7426,98.75,64.382
5/1/2020 2:00,2.40157,66.74,1.41579378,0,97,7427,98.75,64.4
5/1/2020 2:05,2.40157,66.74,1.41579378,0,97,7428,98.75,64.418
5/1/2020 2:10,2.44094,66.74,1.419057522,0,97,7425,98.75,64.454
5/1/2020 2:15,2.44094,66.74,1.419057522,0,97,7427,98.74,64.49
5/1/2020 2:20,2.40157,66.74,1.419057522,0,97,7425,98.74,64.508
5/1/2020 2:25,2.44094,66.74,1.419057522,0,97,7425,98.73,64.526
5/1/2020 2:30,2.44094,66.704,1.419057522,0,97,7425,98.73,64.544
5/1/2020 2:35,2.44094,66.632,1.419057522,0,96,7423,98.72,64.58
5/1/2020 2:40,2.44094,66.596,1.419057522,0,97,7426,98.72,64.58
5/1/2020 2:45,2.40157,66.56,1.419057522,0,96,7424,98.72,64.598
5/1/2020 2:50,2.44094,66.56,1.419057522,0,97,7426,98.72,64.616
5/1/2020 2:55,2.40157,66.56,1.419057522,0,97,7425,98.72,64.616
5/1/2020 3:00,2.40157,66.56,1.422328787,0,97,7426,98.72,64.634
5/1/2020 3:05,2.40157,66.56,1.422328787,0,96,7423,98.73,64.652
5/1/2020 3:10,2.3622,66.56,1.422328787,0,96,7422,98.73,64.67
5/1/2020 3:15,2.44094,66.56,1.422328787,0,97,7425,98.73,64.688
5/1/2020 3:20,2.44094,66.56,1.422328787,0,96,7423,98.74,64.688
5/1/2020 3:25,2.44094,66.56,1.422328787,0,97,7425,98.74,64.688
5/1/2020 3:30,2.44094,66.56,1.422328787,0,96,7423,98.75,64.688
5/1/2020 3:35,2.44094,66.56,1.425607594,0,96,7424,98.74,64.688
5/1/2020 3:40,2.44094,66.56,1.422328787,0,96,7423,98.73,64.688
5/1/2020 3:45,2.44094,66.596,1.389952631,0,96,7422,98.73,64.688
5/1/2020 3:50,2.40157,66.74,1.389952631,0,96,7421,98.72,64.688
5/1/2020 3:55,2.40157,66.74,1.402813705,0,96,7422,98.72,64.67
5/1/2020 4:00,2.40157,66.632,1.406047524,0,96,7420,98.72,64.67
5/1/2020 4:05,2.40157,66.56,1.409288798,0,96,7422,98.72,64.652
5/1/2020 4:10,2.44094,66.56,1.406047524,0,96,7421,98.72,64.652
5/1/2020 4:15,2.40157,66.56,1.406047524,0,96,7422,98.72,64.634
5/1/2020 4:20,2.40157,66.56,1.412537545,0,96,7420,98.73,64.616
5/1/2020 4:25,2.40157,66.56,1.41579378,0,96,7421,98.73,64.598
5/1/2020 4:30,2.44094,66.632,1.383566379,0,96,7422,98.74,64.58
5/1/2020 4:35,2.44094,66.74,1.367728826,0,96,7422,98.74,64.562
5/1/2020 4:40,2.44094,66.74,1.383566379,0,96,7422,98.74,64.544
5/1/2020 4:45,2.40157,66.74,1.399587323,0,96,7420,98.73,64.526
5/1/2020 4:50,2.40157,66.74,1.409288798,0,96,7419,98.74,64.508
5/1/2020 4:55,2.40157,66.596,1.41579378,0,96,7423,98.73,64.508
5/1/2020 5:00,2.40157,66.56,1.41579378,0,96,7419,98.73,64.49
5/1/2020 5:05,2.40157,66.56,1.422328787,0,96,7419,98.73,64.49
5/1/2020 5:10,2.40157,66.56,1.419057522,0,96,7418,98.74,64.49
5/1/2020 5:15,2.40157,66.56,1.419057522,0,96,7419,98.73,64.49
5/1/2020 5:20,2.40157,66.596,1.419057522,0,96,7418,98.74,64.472
5/1/2020 5:25,2.44094,66.74,1.419057522,0,96,7417,98.74,64.472
5/1/2020 5:30,2.44094,66.74,1.422328787,0,96,7419,98.74,64.472
5/1/2020 5:35,2.40157,66.56,1.422328787,0,96,7419,98.74,64.472
5/1/2020 5:40,2.40157,66.56,1.425607594,0,97,7429,98.73,64.472
5/1/2020 5:45,2.40157,66.56,1.422328787,0,97,7426,98.73,64.508
5/1/2020 5:50,2.44094,66.56,1.419057522,0,97,7426,98.74,64.49
5/1/2020 5:55,2.44094,66.56,1.422328787,0,97,7428,98.74,64.454
5/1/2020 6:00,2.40157,66.56,1.422328787,0,97,7426,98.75,64.418
5/1/2020 6:05,2.44094,66.56,1.422328787,0,97,7427,98.76,64.4
5/1/2020 6:10,2.44094,66.56,1.422328787,0,97,7426,98.76,64.382
5/1/2020 6:15,2.40157,66.56,1.422328787,0,97,7425,98.77,64.364
5/1/2020 6:20,2.44094,66.56,1.422328787,0,96,7423,98.77,64.346
5/1/2020 6:25,2.40157,66.56,1.422328787,0,97,7425,98.78,64.328
5/1/2020 6:30,2.40157,66.56,1.425607594,0,97,7425,98.79,64.31
5/1/2020 6:35,2.44094,66.56,1.425607594,0,97,7425,98.79,64.31
5/1/2020 6:40,2.48031,66.56,1.422328787,0,97,7425,98.79,64.31
5/1/2020 6:45,2.44094,66.56,1.422328787,0,96,7423,98.8,64.31
5/1/2020 6:50,2.40157,66.56,1.41579378,0,96,7423,98.81,64.31
5/1/2020 6:55,2.40157,66.56,1.41579378,0,96,7422,98.81,64.31
5/1/2020 7:00,2.48031,66.56,1.432187899,0,96,7423,98.82,64.31
5/1/2020 7:05,2.48031,66.56,1.442115352,0,96,7424,98.82,64.328
5/1/2020 7:10,2.44094,66.56,1.419057522,0,96,7422,98.82,64.328
5/1/2020 7:15,2.48031,66.56,1.409288798,0,96,7422,98.82,64.346
5/1/2020 7:20,2.48031,66.668,1.386755829,0,96,7422,98.83,64.364
5/1/2020 7:25,2.44094,66.74,1.386755829,0,96,7422,98.83,64.4
5/1/2020 7:30,2.44094,66.74,1.399587323,0,96,7419,98.84,64.418
5/1/2020 7:35,2.44094,66.668,1.409288798,0,96,7422,98.85,64.454
5/1/2020 7:40,2.44094,66.56,1.412537545,0,96,7419,98.86,64.472
5/1/2020 7:45,2.40157,66.56,1.412537545,0,96,7419,98.86,64.49
5/1/2020 7:50,2.40157,66.56,1.41579378,0,96,7420,98.87,64.49
5/1/2020 7:55,2.40157,66.56,1.419057522,0,96,7421,98.87,64.472
5/1/2020 8:00,2.3622,66.56,1.422328787,0,96,7419,98.87,64.472
5/1/2020 8:05,2.40157,66.56,1.419057522,0,96,7419,98.87,64.49
5/1/2020 8:10,2.3622,66.56,1.422328787,0,96,7419,98.88,64.508
5/1/2020 8:15,2.3622,66.56,1.422328787,0,96,7418,98.87,64.544
5/1/2020 8:20,2.40157,66.56,1.425607594,0,96,7419,98.88,64.598
5/1/2020 8:25,2.40157,66.38,1.425607594,0,96,7418,98.88,64.634
5/1/2020 8:30,2.3622,66.38,1.425607594,0,96,7419,98.87,64.67
5/1/2020 8:35,2.3622,66.38,1.425607594,0,96,7416,98.87,64.706
5/1/2020 8:40,2.40157,66.38,1.425607594,0,96,7416,98.88,64.778
5/1/2020 8:45,2.3622,66.38,1.425607594,0,96,7416,98.88,64.832
5/1/2020 8:50,2.3622,66.38,1.425607594,0,96,7418,98.89,64.904
5/1/2020 8:55,2.3622,66.38,1.425607594,0,96,7416,98.89,64.976
5/1/2020 9:00,2.3622,66.38,1.425607594,0,96,7418,98.89,65.066
5/1/2020 9:05,2.3622,66.38,1.425607594,0,96,7414,98.89,65.156
5/1/2020 9:10,2.3622,66.38,1.425607594,0,96,7417,98.9,65.264
5/1/2020 9:15,2.32283,66.452,1.425607594,0,96,7418,98.9,65.372
5/1/2020 9:20,2.3622,66.56,1.422328787,0,96,7417,98.9,65.48
5/1/2020 9:25,2.3622,66.56,1.425607594,0,96,7416,98.89,65.57
5/1/2020 9:30,2.3622,66.56,1.422328787,0,96,7417,98.89,65.678
5/1/2020 9:35,2.3622,66.56,1.422328787,0,96,7415,98.9,65.804
5/1/2020 9:40,2.40157,66.56,1.422328787,0,96,7416,98.9,65.912
5/1/2020 9:45,2.40157,66.56,1.425607594,0,96,7415,98.9,66.002
5/1/2020 9:50,2.3622,66.56,1.422328787,0,96,7416,98.9,66.092
5/1/2020 9:55,2.3622,66.56,1.425607594,0,96,7416,98.91,66.182
5/1/2020 10:00,2.3622,66.632,1.422328787,0,96,7416,98.91,66.272
5/1/2020 10:05,2.3622,66.74,1.412537545,0,96,7413,98.91,66.38
5/1/2020 10:10,2.3622,66.74,1.419057522,0,96,7415,98.92,66.488
5/1/2020 10:15,2.3622,66.74,1.422328787,0,96,7416,98.92,66.596
5/1/2020 10:20,2.3622,66.56,1.422328787,0,96,7416,98.92,66.668
5/1/2020 10:25,2.3622,66.56,1.425607594,0,96,7413,98.92,66.74
5/1/2020 10:30,2.32283,66.56,1.425607594,0,96,7415,98.92,66.83
5/1/2020 10:35,2.3622,66.56,1.425607594,0,96,7415,98.92,66.92
5/1/2020 10:40,2.32283,66.56,1.428893959,0,96,7416,98.92,67.028
5/1/2020 10:45,2.3622,66.56,1.428893959,0,96,7416,98.92,67.136
5/1/2020 10:50,2.3622,66.56,1.428893959,0,96,7413,98.92,67.262
5/1/2020 10:55,2.3622,66.56,1.425607594,0,96,7416,98.92,67.388
5/1/2020 11:00,2.3622,66.56,1.425607594,0,96,7413,98.92,67.496
5/1/2020 11:05,2.3622,66.56,1.425607594,0,96,7414,98.92,67.64
5/1/2020 11:10,2.3622,66.668,1.425607594,0,96,7417,98.92,67.766
5/1/2020 11:15,2.3622,66.56,1.428893959,0,96,7416,98.92,67.892
5/1/2020 11:20,2.3622,66.56,1.428893959,0,96,7413,98.92,68
5/1/2020 11:25,2.3622,66.56,1.428893959,0,96,7414,98.92,68.108
5/1/2020 11:30,2.3622,66.632,1.428893959,0,96,7415,98.93,68.198
5/1/2020 11:35,2.3622,66.74,1.428893959,0,96,7413,98.93,68.288
5/1/2020 11:40,2.3622,66.74,1.428893959,0,96,7415,98.93,68.414
5/1/2020 11:45,2.32283,66.74,1.428893959,0,96,7413,98.93,68.558
5/1/2020 11:50,2.3622,66.668,1.428893959,0,96,7414,98.93,68.684
5/1/2020 11:55,2.3622,66.632,1.428893959,0,96,7414,98.92,68.81
5/1/2020 12:00,2.3622,66.56,1.428893959,0,96,7415,98.91,68.918
5/1/2020 12:05,2.32283,66.704,1.432187899,0,96,7415,98.9,69.008
5/1/2020 12:10,2.32283,66.74,1.432187899,0,96,7415,98.89,69.062
5/1/2020 12:15,2.32283,66.74,1.432187899,0,96,7415,98.9,69.098
5/1/2020 12:20,2.32283,66.74,1.432187899,0,96,7414,98.9,69.17
5/1/2020 12:25,2.32283,66.74,1.432187899,0,96,7413,98.9,69.26
5/1/2020 12:30,2.32283,66.74,1.432187899,0,96,7416,98.89,69.314
5/1/2020 12:35,2.32283,66.74,1.432187899,0,96,7415,98.89,69.35
5/1/2020 12:40,2.3622,66.74,1.432187899,0,96,7414,98.89,69.35
5/1/2020 12:45,2.3622,66.74,1.432187899,0,96,7415,98.89,69.422
5/1/2020 12:50,2.3622,66.74,1.435489433,0,96,7413,98.89,69.512
5/1/2020 12:55,2.32283,66.74,1.442115352,0,96,7412,98.89,69.638
5/1/2020 13:00,2.3622,66.74,1.435489433,0,96,7416,98.88,69.764
5/1/2020 13:05,2.3622,66.74,1.432187899,0,96,7416,98.86,69.926
5/1/2020 13:10,2.32283,66.74,1.432187899,0,96,7417,98.86,70.106
5/1/2020 13:15,2.3622,66.74,1.432187899,0,96,7413,98.86,70.268
5/1/2020 13:20,2.44094,66.776,1.425607594,0,96,7413,98.85,70.43
5/1/2020 13:25,2.48031,66.92,1.41579378,0,96,7415,98.84,70.502
5/1/2020 13:30,2.44094,67.1,1.389952631,0,96,7413,98.84,70.556
5/1/2020 13:35,2.40157,67.208,1.386755829,0,96,7414,98.83,70.664
5/1/2020 13:40,2.3622,66.956,1.402813705,0,96,7413,98.83,70.772
5/1/2020 13:45,2.3622,66.92,1.412537545,0,96,7413,98.83,70.88
5/1/2020 13:50,2.3622,66.92,1.419057522,0,96,7414,98.83,71.042
5/1/2020 13:55,2.40157,66.92,1.425607594,0,96,7413,98.84,71.204
5/1/2020 14:00,2.3622,66.74,1.428893959,0,96,7413,98.84,71.348
5/1/2020 14:05,2.3622,66.74,1.428893959,0,96,7413,98.84,71.474
5/1/2020 14:10,2.40157,66.74,1.428893959,0,96,7414,98.84,71.636
5/1/2020 14:15,2.40157,66.74,1.428893959,0,96,7413,98.84,71.852
5/1/2020 14:20,2.40157,66.74,1.428893959,0,96,7413,98.85,72.014
5/1/2020 14:25,2.3622,66.74,1.428893959,0,96,7414,98.85,72.158
5/1/2020 14:30,2.3622,66.74,1.428893959,0,96,7411,98.84,72.284
5/1/2020 14:35,2.3622,66.74,1.428893959,0,96,7413,98.83,72.356
5/1/2020 14:40,2.3622,66.74,1.428893959,0,96,7415,98.82,72.356
5/1/2020 14:45,2.3622,66.74,1.428893959,0,96,7415,98.82,72.338
5/1/2020 14:50,2.32283,66.74,1.432187899,0,96,7414,98.82,72.284
5/1/2020 14:55,2.32283,66.74,1.428893959,0,96,7413,98.82,72.302
5/1/2020 15:00,2.3622,66.812,1.445439771,0,96,7415,98.83,72.374
5/1/2020 15:05,2.32283,66.92,1.435489433,0,96,7412,98.82,72.518
5/1/2020 15:10,2.3622,66.92,1.428893959,0,96,7412,98.82,72.68
5/1/2020 15:15,2.3622,66.92,1.428893959,0,96,7412,98.82,72.77
5/1/2020 15:20,2.40157,66.92,1.428893959,0,96,7413,98.82,72.86
5/1/2020 15:25,2.3622,66.92,1.428893959,0,96,7414,98.81,72.986
5/1/2020 15:30,2.3622,66.92,1.425607594,0,96,7410,98.8,73.112
5/1/2020 15:35,2.3622,66.92,1.428893959,0,96,7414,98.8,73.22
5/1/2020 15:40,2.3622,66.848,1.432187899,0,96,7415,98.79,73.274
5/1/2020 15:45,2.3622,66.92,1.432187899,0,96,7414,98.79,73.274
5/1/2020 15:50,2.32283,66.776,1.432187899,0,96,7414,98.8,73.202
5/1/2020 15:55,2.3622,66.74,1.432187899,0,96,7413,98.79,73.112
5/1/2020 16:00,2.3622,66.74,1.432187899,0,96,7415,98.79,73.076
5/1/2020 16:05,2.32283,66.74,1.432187899,0,96,7413,98.79,73.112
5/1/2020 16:10,2.32283,66.74,1.432187899,0,96,7414,98.78,73.148
5/1/2020 16:15,2.32283,66.74,1.432187899,0,96,7413,98.78,73.184
5/1/2020 16:20,2.3622,66.74,1.432187899,0,96,7414,98.78,73.256
5/1/2020 16:25,2.3622,66.74,1.435489433,0,96,7412,98.78,73.238
5/1/2020 16:30,2.32283,66.74,1.432187899,0,96,7413,98.77,73.274
5/1/2020 16:35,2.32283,66.74,1.435489433,0,96,7413,98.77,73.382
5/1/2020 16:40,2.3622,66.74,1.432187899,0,96,7413,98.76,73.526
5/1/2020 16:45,2.32283,66.74,1.432187899,0,96,7413,98.77,73.652
5/1/2020 16:50,2.32283,66.74,1.432187899,0,96,7414,98.77,73.706
5/1/2020 16:55,2.28346,66.74,1.435489433,0,96,7412,98.77,73.76
5/1/2020 17:00,2.32283,66.884,1.432187899,0,96,7411,98.77,73.778
