,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,°F Logger Temperature
2020-05-01 00:00:00,6.18109,65.66,2.22330989065,0.0,100,7557,99.35,71.996
2020-05-01 00:05:00,6.10235,65.66,2.18776162395,0.0,98,7471,99.35,72.266
2020-05-01 00:10:00,6.02361,65.588,2.22843514927,0.0,98,7456,99.35,72.626
2020-05-01 00:15:00,6.02361,65.552,2.20292646305,0.0,97,7441,99.35,72.842
2020-05-01 00:20:00,5.98424,65.48,2.18776162395,0.0,100,7506,99.36,72.662
2020-05-01 00:25:00,5.98424,65.48,2.16770410482,0.0,100,7510,99.37,72.356
2020-05-01 00:30:00,5.94487,65.48,2.17270117886,0.0,100,7513,99.36,72.212
2020-05-01 00:35:00,5.94487,65.48,2.18272991184,0.0,100,7517,99.37,72.104
2020-05-01 00:40:00,5.94487,65.48,2.16770410482,0.0,100,7517,99.37,72.032
2020-05-01 00:45:00,5.9055,65.48,2.19785987278,0.0,100,7517,99.38,71.978
2020-05-01 00:50:00,5.9055,65.48,2.18272991184,0.0,100,7520,99.37,71.924
2020-05-01 00:55:00,5.9055,65.48,2.15278173472,0.0,100,7520,99.37,71.87
2020-05-01 01:00:00,5.9055,65.48,2.18776162395,0.0,100,7520,99.36,71.834
2020-05-01 01:05:00,5.86613,65.48,2.17270117886,0.0,100,7521,99.36,71.798
2020-05-01 01:10:00,5.86613,65.48,2.14289060112,0.0,100,7520,99.36,71.744
2020-05-01 01:15:00,5.9055,65.48,2.16770410482,0.0,100,7522,99.36,71.708
2020-05-01 01:20:00,5.98424,65.48,2.21309470961,0.0,100,7524,99.36,71.654
2020-05-01 01:25:00,6.06298,65.48,2.18776162395,0.0,100,7523,99.36,71.6
2020-05-01 01:30:00,6.10235,65.48,2.22843514927,0.0,100,7525,99.36,71.51
2020-05-01 01:35:00,6.06298,65.48,2.26464430759,0.0,100,7523,99.36,71.438
2020-05-01 01:40:00,6.06298,65.48,2.26464430759,0.0,100,7524,99.36,71.384
2020-05-01 01:45:00,6.02361,65.48,2.25423921215,0.0,100,7525,99.36,71.366
2020-05-01 01:50:00,6.02361,65.48,2.23872113857,0.0,100,7527,99.35,71.33
2020-05-01 01:55:00,6.02361,65.48,2.20800473302,0.0,100,7525,99.35,71.294
2020-05-01 02:00:00,5.94487,65.48,2.2181964198,0.0,100,7525,99.35,71.24
2020-05-01 02:05:00,5.94487,65.48,2.20292646305,0.0,100,7526,99.34,71.186
2020-05-01 02:10:00,5.9055,65.48,2.22843514927,0.0,100,7528,99.34,71.132
