,in Water Level,°F Water Temperature,mS/cm EC, Sensor Metadata,% Battery Percent,mV Battery Voltage,kPa Reference Pressure,°F Logger Temperature
5/1/2020 0:00,4.88188,65.66,2.766941645,0.0,100,7557,99.65,67.784
5/1/2020 0:05,4.88188,65.66,2.766941645,0.0,99,7478,99.65,67.964
5/1/2020 0:10,4.88188,65.66,2.773320105,0.0,98,7463,99.65,68.198
5/1/2020 0:15,4.88188,65.66,2.766941645,0.0,97,7438,99.64,68.324
5/1/2020 0:20,4.88188,65.66,2.773320105,0.0,100,7508,99.64,68.036
5/1/2020 0:25,4.88188,65.66,2.773320105,0.0,100,7511,99.64,67.64
5/1/2020 0:30,4.84251,65.66,2.773320105,0.0,100,7515,99.64,67.388
5/1/2020 0:35,4.84251,65.66,2.773320105,0.0,100,7512,99.64,67.172
5/1/2020 0:40,4.84251,65.66,2.779713268,0.0,100,7519,99.64,66.992
5/1/2020 0:45,4.84251,65.588,2.779713268,0.0,100,7515,99.65,66.812
5/1/2020 0:50,4.84251,65.48,2.779713268,0.0,100,7520,99.65,66.65
5/1/2020 0:55,4.80314,65.48,2.779713268,0.0,100,7520,99.65,66.542
5/1/2020 1:00,4.84251,65.48,2.773320105,0.0,100,7518,99.65,66.452
5/1/2020 1:05,4.84251,65.48,2.779713268,0.0,100,7519,99.65,66.344
5/1/2020 1:10,4.88188,65.48,2.779713268,0.0,100,7521,99.66,66.236
5/1/2020 1:15,4.88188,65.48,2.779713268,0.0,100,7521,99.66,66.146
5/1/2020 1:20,4.92125,65.48,2.779713268,0.0,100,7522,99.66,66.056
5/1/2020 1:25,4.92125,65.48,2.779713268,0.0,100,7526,99.66,65.984
5/1/2020 1:30,4.92125,65.48,2.779713268,0.0,100,7523,99.66,65.93
5/1/2020 1:35,4.92125,65.48,2.786121169,0.0,100,7525,99.66,65.876
5/1/2020 1:40,4.92125,65.48,2.779713268,0.0,100,7524,99.65,65.876
5/1/2020 1:45,4.96062,65.48,2.779713268,0.0,100,7525,99.65,65.876
5/1/2020 1:50,4.92125,65.48,2.779713268,0.0,100,7526,99.65,65.894
5/1/2020 1:55,4.92125,65.48,2.779713268,0.0,100,7526,99.64,65.948
5/1/2020 2:00,4.88188,65.48,2.779713268,0.0,100,7523,99.64,65.984
5/1/2020 2:05,4.88188,65.48,2.779713268,0.0,100,7524,99.65,66.056
5/1/2020 2:10,4.88188,65.48,2.779713268,0.0,100,7524,99.64,66.092
5/1/2020 2:15,4.88188,65.48,2.786121169,0.0,100,7524,99.63,66.146
5/1/2020 2:20,4.88188,65.48,2.786121169,0.0,100,7524,99.63,66.182
5/1/2020 2:25,4.88188,65.48,2.786121169,0.0,100,7524,99.62,66.218
5/1/2020 2:30,4.88188,65.48,2.779713268,0.0,100,7526,99.62,66.236
5/1/2020 2:35,4.88188,65.48,2.779713268,0.0,100,7526,99.62,66.254
5/1/2020 2:40,4.88188,65.48,2.779713268,0.0,100,7528,99.61,66.272
5/1/2020 2:45,4.84251,65.48,2.779713268,0.0,100,7526,99.61,66.254
5/1/2020 2:50,4.84251,65.48,2.779713268,0.0,100,7527,99.61,66.254
5/1/2020 2:55,4.84251,65.48,2.779713268,0.0,100,7527,99.61,66.254
5/1/2020 3:00,4.84251,65.48,2.779713268,0.0,100,7526,99.61,66.254
5/1/2020 3:05,4.84251,65.48,2.779713268,0.0,100,7529,99.61,66.254
5/1/2020 3:10,4.84251,65.48,2.779713268,0.0,100,7524,99.62,66.254
5/1/2020 3:15,4.84251,65.48,2.779713268,0.0,100,7525,99.63,66.254
5/1/2020 3:20,4.80314,65.48,2.760577856,0.0,100,7527,99.63,66.254
5/1/2020 3:25,4.80314,65.444,2.786121169,0.0,100,7526,99.63,66.254
5/1/2020 3:30,4.80314,65.3,2.79898132,0.0,100,7525,99.64,66.272
5/1/2020 3:35,4.80314,65.3,2.754228703,0.0,100,7526,99.63,66.326
5/1/2020 3:40,4.84251,65.3,2.728977783,0.0,100,7526,99.62,66.362
5/1/2020 3:45,4.84251,65.3,2.703958364,0.0,100,7525,99.62,66.398
5/1/2020 3:50,4.84251,65.3,2.691534804,0.0,100,7528,99.61,66.416
5/1/2020 3:55,4.92125,65.3,2.685344446,0.0,100,7526,99.61,66.452
5/1/2020 4:00,4.92125,65.3,2.673006409,0.0,100,7530,99.61,66.452
5/1/2020 4:05,4.92125,65.3,2.666858665,0.0,100,7528,99.61,66.47
5/1/2020 4:10,4.96062,65.3,2.654605562,0.0,100,7528,99.61,66.488
5/1/2020 4:15,4.96062,65.3,2.648500139,0.0,100,7529,99.61,66.506
5/1/2020 4:20,4.99999,65.3,2.648500139,0.0,100,7529,99.61,66.524
